schema_name,table_name,column_name,entity_type,description,sensitivity,tags,business_terms
awc_operations,,,SCHEMA,"Arizona Water Company operational schema: customers, water systems, tiered rates, monthly usage/billing, water-quality reports, and account alerts. Contains PII and regulated water-quality data.",HIGH,Domain:Operations|Contains_Personal_Data,
awc_operations,customers,,TABLE,"Arizona Water Company customer master file across 27 communities in 8 Arizona counties. Holds residential, commercial, agricultural and industrial accounts. Contains direct PII (names, service and billing addresses, email, phone).",HIGH,Domain:Customer|PII|Contains_Personal_Data,Customer Record
awc_operations,customers,customer_id,COLUMN,Surrogate primary key uniquely identifying each customer account.,LOW,Key|Reference,
awc_operations,customers,account_number,COLUMN,Unique AWC account number in format AWC-[City Code]-[Sequential]. Primary billing/service identifier. Confidential PII.,HIGH,PII|Billing|Reference,Customer Account Number
awc_operations,customers,customer_name,COLUMN,Full name of the customer (person or organisation). Direct PII.,HIGH,PII|Contact,Customer Name
awc_operations,customers,service_address,COLUMN,Street address where water service is delivered. Direct PII / location.,HIGH,PII|Contact|Location,Service Address
awc_operations,customers,service_city,COLUMN,City of the service location. Quasi-identifier.,MEDIUM,Location,
awc_operations,customers,service_county,COLUMN,Arizona county of the service location (one of 8 served counties).,LOW,Location|Reference,
awc_operations,customers,service_zip,COLUMN,ZIP code of the service location. Quasi-identifier.,MEDIUM,Location,
awc_operations,customers,customer_type,COLUMN,"Customer classification: Residential, Commercial, Industrial, Agriculture. Drives rate structure and conservation programs.",LOW,Domain:Customer|Reference,Customer Type
awc_operations,customers,service_area_system,COLUMN,"AWC water system serving this customer (e.g. Pinal Valley, Sedona). Determines applicable rates and water quality.",LOW,Domain:Operations|Reference,Service Area
awc_operations,customers,email,COLUMN,Customer email address. Direct PII and a marketing-contact channel.,HIGH,PII|Contact,Email Address
awc_operations,customers,phone,COLUMN,Customer telephone number. Direct PII.,HIGH,PII|Contact,Phone Number
awc_operations,customers,account_status,COLUMN,"Account state: Active, Suspended, Closed, Pending.",LOW,Status|Reference,Customer Status
awc_operations,customers,billing_name,COLUMN,Name on the billing account; may differ from the service customer. PII.,HIGH,PII|Billing|Contact,
awc_operations,customers,billing_address,COLUMN,Mailing address for billing. Direct PII / location.,HIGH,PII|Billing|Location,Mailing Address
awc_operations,customers,billing_city,COLUMN,City portion of the billing address.,MEDIUM,Billing|Location,
awc_operations,customers,billing_zip,COLUMN,ZIP code portion of the billing address.,MEDIUM,Billing|Location,
awc_operations,customers,service_start_date,COLUMN,Date water service began for the account.,LOW,Temporal,Account Open Date
awc_operations,customers,last_updated,COLUMN,Timestamp of the most recent change to the customer record.,LOW,Temporal|Operational,
awc_operations,customers,opted_out_marketing,COLUMN,GDPR/CCPA marketing-consent flag. TRUE = opted OUT and must not receive marketing email. Critical compliance control.,HIGH,Compliance|Consent|Regulatory,Marketing Consent
awc_operations,water_systems,,TABLE,"AWC's 24 water systems serving 27 Arizona communities. Each system has a distinct water source, rate structure and conservation focus. Operational reference data, largely public.",LOW,Domain:Operations|Reference,Water System Record
awc_operations,water_systems,system_id,COLUMN,Surrogate primary key identifying each water system.,LOW,Key|Reference,Water System
awc_operations,water_systems,system_name,COLUMN,Unique water system name (e.g. Pinal Valley System).,LOW,Reference,
awc_operations,water_systems,service_cities,COLUMN,Communities served by this system.,LOW,Location|Reference,
awc_operations,water_systems,county,COLUMN,Primary Arizona county served by this system.,LOW,Location|Reference,
awc_operations,water_systems,system_type,COLUMN,"Water system type: Groundwater, Surface Water, or Mixed.",LOW,Reference,
awc_operations,water_systems,source_type,COLUMN,"Water source description (Wells, Colorado River, Local Rivers, Mixed). Drives supply vulnerability.",LOW,Reference|Operational,Source Type
awc_operations,water_systems,primary_source,COLUMN,Primary physical water source for the system.,LOW,Reference|Operational,
awc_operations,water_systems,number_of_customers,COLUMN,Count of customers served by the system.,LOW,Operational,
awc_operations,water_systems,population_served,COLUMN,Estimated population served by the system.,LOW,Operational,Population Served
awc_operations,water_systems,total_annual_usage_acre_feet,COLUMN,"Total annual water usage for the system, in acre-feet.",LOW,Usage|Operational,
