Glossary,Category,Term,Definition,Purpose,Abbreviation,Sensitivity,Domain,Status,Classification,Critical_Data_Element,Business_Steward,Linked_Data_Elements
Arizona Water Operations,Customer,Customer,An individual or organization that holds an active or historical water service account with Arizona Water Company.,"Standardize the core party concept used across billing, service, and analytics.",CUST,Low,Customer & Billing,Accepted,Company Confidential,Yes,Maria Garcia,awc_operations.customers.customer_id
Arizona Water Operations,Customer,Account Number,The unique AWC billing account identifier in the format AWC-XX-###### where XX is the two-letter water system code and ###### is a six-digit sequence.,Provide a single conformed key for joining customers to billing across systems.,ACCT,Medium,Customer & Billing,Accepted,Company Confidential,Yes,Maria Garcia,awc_operations.customers.account_number
Arizona Water Operations,Customer,Customer Name,The full legal name of the account holder. Personally identifiable information subject to GDPR and CCPA.,Identify the responsible party while flagging the field as protected PII.,,High,Customer & Billing,Accepted,Private,Yes,Maria Garcia,awc_operations.customers.customer_name
Arizona Water Operations,Customer,Service Address,The physical address where water service is delivered. PII because it pinpoints a household.,Locate service delivery and flag the field as protected personal data.,,High,Customer & Billing,Accepted,Private,Yes,Maria Garcia,awc_operations.customers.service_address
Arizona Water Operations,Customer,Email Address,The customer's contact email. PII and the channel governed by marketing consent.,Enable contact while enforcing opt-out and validity controls.,,High,Customer & Billing,Accepted,Private,No,Maria Garcia,awc_operations.customers.email
Arizona Water Operations,Customer,Phone Number,The customer's contact telephone number. Personally identifiable information.,Enable contact while flagging the field as protected PII.,,High,Customer & Billing,Accepted,Private,No,Maria Garcia,awc_operations.customers.phone
Arizona Water Operations,Customer,Marketing Consent,A boolean flag indicating whether the customer has opted OUT of marketing communications. When TRUE the customer must not receive marketing.,Enforce GDPR/CCPA opt-out and prevent the wrongful-marketing breach.,,High,Customer & Billing,Accepted,Company Confidential,Yes,Maria Garcia,awc_operations.customers.opted_out_marketing
Arizona Water Operations,Customer,Account Status,"The lifecycle state of a customer account: Active, Suspended, Closed, or Pending.",Provide a controlled vocabulary that drives billing and service eligibility.,,Low,Customer & Billing,Accepted,Company Confidential,No,Maria Garcia,awc_operations.customers.account_status
Arizona Water Operations,Customer,Customer Type,"The segment of the customer: Residential, Commercial, Agriculture, or Industrial.",Segment customers for rate selection and usage analysis.,,Low,Customer & Billing,Accepted,Public,No,Maria Garcia,awc_operations.customers.customer_type
Arizona Water Operations,Customer,Service Area,"The water system that serves a given customer, linking each customer to one of AWC's eight cataloged systems.",Connect customers to the operational source of their water and to lineage.,,Low,Operations,Accepted,Public,No,David Chen,awc_operations.customers.service_area_system
Arizona Water Operations,Billing & Rates,Conservation-Oriented Rate,"A tiered pricing structure in which essential lifeline use is charged at the lowest rate and discretionary use at the highest, so the price itself encourages conservation.",Standardize how AWC describes its rate design across billing and communications.,COR,Low,Customer & Billing,Accepted,Public,Yes,Robert Hayes,awc_operations.tiered_rates.tier1_rate_per_1000gal;awc_operations.tiered_rates.tier4_rate_per_1000gal
Arizona Water Operations,Billing & Rates,Base Charge,The fixed monthly service charge applied to an account regardless of consumption.,Define the non-volumetric portion of a bill for revenue analysis.,,Low,Customer & Billing,Accepted,Public,No,Robert Hayes,awc_operations.tiered_rates.base_charge;awc_operations.monthly_usage.base_charge
Arizona Water Operations,Billing & Rates,Tier Charge,"The volumetric charge for water consumed within a specific pricing tier, calculated as gallons in tier multiplied by the tier rate per 1000 gallons.",Explain how consumption converts into graduated charges.,,Low,Customer & Billing,Accepted,Public,No,Robert Hayes,awc_operations.monthly_usage.tier_1_charge;awc_operations.monthly_usage.tier_4_charge
Arizona Water Operations,Billing & Rates,Wastewater Charge,The portion of a bill attributable to wastewater (sewer) service.,Separate wastewater revenue from potable water revenue.,,Low,Customer & Billing,Accepted,Public,No,Robert Hayes,awc_operations.monthly_usage.wastewater_charge
Arizona Water Operations,Billing & Rates,Total Due,The full amount a customer owes for a billing period: base plus tier charges plus wastewater plus tax.,Provide the authoritative amount owed and the basis for consistency checks.,,Medium,Customer & Billing,Accepted,Company Confidential,Yes,Robert Hayes,awc_operations.monthly_usage.total_due
Arizona Water Operations,Billing & Rates,Payment Status,"The settlement state of a bill: Paid, Unpaid, Overdue, or Disputed.",Drive the collections worklist and overdue alerting.,,Medium,Customer & Billing,Accepted,Company Confidential,Yes,Robert Hayes,awc_operations.monthly_usage.payment_status
Arizona Water Operations,Billing & Rates,Billing Month,"The calendar month a bill covers, used to assess timeliness and trend usage.",Anchor billing records in time for timeliness and seasonality analysis.,,Low,Customer & Billing,Accepted,Public,No,Robert Hayes,awc_operations.monthly_usage.billing_month
Arizona Water Operations,Usage,Usage Gallons,"The total volume of water consumed by a customer in a billing period, measured in gallons.",Provide the consumption basis for tiered billing and conservation analysis.,,Low,Operations,Accepted,Public,Yes,David Chen,awc_operations.monthly_usage.usage_gallons
Arizona Water Operations,Usage,Tier Gallons,The portion of total usage that falls within a specific pricing tier band.,Explain how consumption is distributed across rate tiers.,,Low,Operations,Accepted,Public,No,David Chen,awc_operations.monthly_usage.usage_tier_1_gallons;awc_operations.monthly_usage.usage_tier_4_gallons
Arizona Water Operations,Usage,Acre-Foot,"A volume of water equal to 325,851 gallons, used to express annual system-level water usage.",Standardize large-volume reporting at the water-system level.,AF,Low,Operations,Accepted,Public,No,David Chen,awc_operations.water_systems.total_annual_usage_acre_feet
Arizona Water Operations,Water System,Water System,"One of AWC's eight cataloged operational water systems, each serving defined cities and drawing on a defined source.",Provide the source-of-truth entity for service areas and lineage.,,Low,Operations,Accepted,Public,Yes,David Chen,awc_operations.water_systems.system_name
Arizona Water Operations,Water System,System Type,"The water source classification of a system: Groundwater, Surface, or Mixed.",Characterize supply sources for resilience and quality analysis.,,Low,Operations,Accepted,Public,No,David Chen,awc_operations.water_systems.system_type
Arizona Water Operations,Water System,Population Served,The estimated number of people who receive water from a given system.,Size systems for capacity planning and conservation targeting.,,Low,Operations,Accepted,Public,No,David Chen,awc_operations.water_systems.population_served
Arizona Water Operations,Water System,Conservation Focus,A designation of whether a system is under heightened conservation management.,Flag systems where conservation messaging and rate design are prioritized.,,Low,Operations,Accepted,Public,No,David Chen,awc_operations.water_systems.conservation_focus
Arizona Water Operations,Water Quality,EPA Compliance Status,"The regulatory standing of a water-quality report: Compliant, Warning, or Violation, judged against EPA limits.",Communicate regulatory standing and trigger remediation.,,Medium,Water Quality,Accepted,Company Confidential,Yes,Dr. Susan Park,awc_operations.water_quality_reports.compliance_status
Arizona Water Operations,Water Quality,Turbidity,A measure of water cloudiness in NTU. The EPA limit for treated water is below 0.5 NTU.,Monitor a key safety indicator and tie it to compliance status.,NTU,Medium,Water Quality,Accepted,Public,Yes,Dr. Susan Park,awc_operations.water_quality_reports.turbidity_ntu
Arizona Water Operations,Water Quality,Lead Level,The concentration of lead in water measured in parts per billion. The EPA action level is 15 ppb.,Monitor a regulated contaminant and flag exceedances.,Pb,High,Water Quality,Accepted,Company Confidential,Yes,Dr. Susan Park,awc_operations.water_quality_reports.lead_ppb
Arizona Water Operations,Water Quality,Bacteria Present,A boolean indicating whether bacteria were detected in a sample. Any detection is a compliance violation.,Flag an immediate public-health concern requiring escalation.,,High,Water Quality,Accepted,Company Confidential,Yes,Dr. Susan Park,awc_operations.water_quality_reports.bacteria_present
Arizona Water Operations,Governance,Sensitivity,"A built-in PDC property classifying how sensitive an asset is: High, Medium, or Low.",Drive access control and discovery filtering for protected data.,,Low,Governance,Accepted,Public,No,Maria Garcia,
Arizona Water Operations,Governance,Data Quality Score,"A computed percentage summarizing the reliability of an asset across completeness, validity, consistency, conformity, and freshness.",Give analysts a single trust signal before using data.,DQ,Low,Governance,Accepted,Public,Yes,Maria Garcia,
